epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.5009,0.82764,0.40657,1,1.09924,0.000416016,0.000416016,0.000416016
2,32.1083,0.64342,0.62002,1,0.78644,0.000816195,0.000816195,0.000816195
3,44.4835,0.59122,0.62471,1,0.77829,0.00119987,0.00119987,0.00119987
4,56.3281,0.54555,0.65207,1,0.73713,0.00117575,0.00117575,0.00117575
5,68.3813,0.51131,0.64191,1,0.7383,0.001151,0.001151,0.001151
6,80.529,0.48787,0.62627,1,0.80161,0.00112625,0.00112625,0.00112625
7,92.9192,0.45627,0.65364,1,0.74612,0.0011015,0.0011015,0.0011015
8,103.778,0.4473,0.65598,1,0.75993,0.00107675,0.00107675,0.00107675
9,115.348,0.41244,0.72009,1,0.62452,0.001052,0.001052,0.001052
10,126.283,0.39161,0.7154,1,0.63896,0.00102725,0.00102725,0.00102725
11,137.12,0.39837,0.73886,1,0.59124,0.0010025,0.0010025,0.0010025
12,148.934,0.36996,0.72557,1,0.59451,0.00097775,0.00097775,0.00097775
13,160.841,0.36442,0.74746,1,0.54708,0.000953,0.000953,0.000953
14,172.314,0.36306,0.75371,1,0.55793,0.00092825,0.00092825,0.00092825
15,184.405,0.34519,0.77952,1,0.51352,0.0009035,0.0009035,0.0009035
16,195.702,0.32772,0.79906,1,0.48683,0.00087875,0.00087875,0.00087875
17,207.828,0.31434,0.78108,1,0.48911,0.000854,0.000854,0.000854
18,219.58,0.30201,0.79515,1,0.46099,0.00082925,0.00082925,0.00082925
19,232.775,0.30221,0.79124,1,0.47558,0.0008045,0.0008045,0.0008045
20,244.963,0.29436,0.81235,1,0.43311,0.00077975,0.00077975,0.00077975
21,256.482,0.27024,0.78733,1,0.46185,0.000755,0.000755,0.000755
22,268.056,0.25896,0.82877,1,0.4102,0.00073025,0.00073025,0.00073025
23,279.573,0.25943,0.82643,1,0.41301,0.0007055,0.0007055,0.0007055
24,291.147,0.24652,0.85066,1,0.36457,0.00068075,0.00068075,0.00068075
25,303.335,0.23945,0.86943,1,0.32795,0.000656,0.000656,0.000656
26,314.748,0.23019,0.87412,1,0.30604,0.00063125,0.00063125,0.00063125
27,325.997,0.22307,0.8577,1,0.33255,0.0006065,0.0006065,0.0006065
28,337.624,0.21399,0.85848,1,0.31092,0.00058175,0.00058175,0.00058175
29,348.954,0.20351,0.87568,1,0.28943,0.000557,0.000557,0.000557
30,360.211,0.19077,0.88116,1,0.2805,0.00053225,0.00053225,0.00053225
31,371.5,0.19357,0.90227,1,0.25915,0.0005075,0.0005075,0.0005075
32,382.803,0.18393,0.914,1,0.23699,0.00048275,0.00048275,0.00048275
33,394.213,0.17764,0.91165,1,0.23104,0.000458,0.000458,0.000458
34,405.702,0.16559,0.9179,1,0.21287,0.00043325,0.00043325,0.00043325
35,416.811,0.16384,0.92181,1,0.20453,0.0004085,0.0004085,0.0004085
36,428.109,0.15456,0.91869,1,0.19084,0.00038375,0.00038375,0.00038375
37,439.399,0.14292,0.92416,1,0.18465,0.000359,0.000359,0.000359
38,451.148,0.13923,0.93667,1,0.15603,0.00033425,0.00033425,0.00033425
39,462.56,0.13389,0.93354,1,0.16059,0.0003095,0.0003095,0.0003095
40,474.034,0.12417,0.93432,1,0.16161,0.00028475,0.00028475,0.00028475
41,485.875,0.1233,0.94214,1,0.15083,0.00026,0.00026,0.00026
42,497.731,0.11995,0.94918,1,0.1288,0.00023525,0.00023525,0.00023525
43,509.876,0.1138,0.94683,1,0.13189,0.0002105,0.0002105,0.0002105
44,521.704,0.11411,0.94918,1,0.12115,0.00018575,0.00018575,0.00018575
45,533.785,0.11431,0.95778,1,0.11444,0.000161,0.000161,0.000161
46,545.476,0.09599,0.95231,1,0.12279,0.00013625,0.00013625,0.00013625
47,558.218,0.09728,0.95856,1,0.10754,0.0001115,0.0001115,0.0001115
48,572.158,0.09345,0.96325,1,0.10071,8.675e-05,8.675e-05,8.675e-05
49,584.675,0.09332,0.96013,1,0.09898,6.2e-05,6.2e-05,6.2e-05
50,596.239,0.09277,0.95778,1,0.10159,3.725e-05,3.725e-05,3.725e-05
